"","region","factor.notcov.1","factor.notcov.2","factor.notcov.9","se.factor.notcov.1","se.factor.notcov.2","se.factor.notcov.9"
"1",1,0.100878363087425,0.890872134021464,0.00824950289111147,0.00317133045418271,0.00329426897935356,0.0011934388664199
"2",2,0.117320633849016,0.875613088001074,0.00706627814990975,0.00414056534349378,0.00431070474292679,0.000973939072575899
"3",3,0.177539925905953,0.814448801293423,0.00801127280062388,0.00354555684998972,0.00356127653990368,0.000674021652418627
"4",4,0.175141622353963,0.815475021381575,0.00938335626446132,0.00472766011733745,0.00471145536370843,0.000805058340393502
